,Accuracy,Precision,Recall,F1 Score,ROC AUC
KNN,0.9836324638404839,0.9710355575696616,0.9970039663400158,0.9838484345384246,0.9940863498990454
Random Forest,0.9828891297316621,0.970957066486624,0.9955570182655916,0.9831031768044804,0.9980723544494905
XGBoost,0.9864497568559805,0.9800323648153022,0.9931340895292028,0.9865397297800024,0.998733936119208
LSTM,0.981364149904337,0.9717159684260919,0.9915703371297111,0.9815427609105758,0.9969930162780144
CNN_LSTM,0.9794963068939871,0.9691063687895966,0.9905478712829107,0.9797098192339566,0.9967412063669722
FNN,0.9667620458842164,0.9492411319599353,0.9862251128972706,0.9673797670421146,0.9916577753046913
Ensemble,0.9799476549770352,0.9681043796227042,0.992575761879065,0.9801873562573624,0.9962804488216539
